Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
14/01/2020,50,Renault,Master,2014,132089,SC,Manuelle,Diesel,125,17520,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1910896954.htm,Non,Non,Non,,
14/01/2020,49,Mercedes,Sprinter,2018,44000,SC,Manuelle,Diesel,163,33120,Benne origine,Oui,Non,NA,JPM,6,https://www.leboncoin.fr/utilitaires/1838358926.htm,Non,Non,Oui,,
14/01/2020,35,Peugeot,Boxer,2018,20328,SC,Manuelle,Diesel,130,24990,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1871122084.htm,Non,Non,Non,,
14/01/2020,13,Fuso,Canter,2019,34000,SC,Manuelle,Diesel,130,30000,Benne origine,Non,Non,NA,JPM,12,https://www.leboncoin.fr/utilitaires/1911010834.htm,Non,Non,Non,,
14/01/2020,13,Nissan,Cabstar,2018,64766,SC,Manuelle,Diesel,130,23388,Benne origine,Non,Non,NA,Cabreta,0,https://www.leboncoin.fr/utilitaires/1855755878.htm,Non,Oui,Oui,,
14/01/2020,84,Renault,Master,2018,69700,SC,Manuelle,Diesel,130,28200,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911182579.htm,Non,Non,Non,,
15/01/2020,78,Renault,Master,2016,132000,SC,Manuelle,Diesel,130,16500,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911378390.htm,Non,Non,Non,,
15/01/2020,37,Iveco,Daily,2009,201000,SC,Manuelle,Diesel,126,12500,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911363594.htm,Non,Non,Non,,
15/01/2020,14,Mercedes,Sprinter,2015,105000,SC,Manuelle,Diesel,163,28880,Benne Neuve,Oui,Non,01/2021,NA,0,https://www.leboncoin.fr/utilitaires/1892981720.htm,Non,Non,Oui,,
15/01/2020,63,Renault,Master,2017,47630,SC,Manuelle,Diesel,130,22990,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911348933.htm,Non,Non,Oui,,
15/01/2020,61,Iveco,Daily,2017,56800,SC,Manuelle,Diesel,150,18000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911342353.htm,Non,Oui,Oui,,
15/01/2020,84,Iveco,Daily,2015,34700,SC,Manuelle,Diesel,93,24000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911339118.htm,Non,Oui,Oui,,
15/01/2020,73,Fiat,Ducato,2017,65006,SC,Manuelle,Diesel,150,21576,Benne origine,Non,Non,NA,NA,6,https://www.leboncoin.fr/utilitaires/1883193803.htm,Non,Non,Non,,
15/01/2020,1,Nissan,Cabstar,2019,32000,SC,Manuelle,Diesel,130,28788,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1897028640.htm,Non,Non,Non,,
15/01/2020,49,Volkswagen,Crafter,2020,6000,SC,Manuelle,Diesel,177,39480,Benne origine,Oui,Non,NA,NA,24,https://www.leboncoin.fr/utilitaires/1857606400.htm,Non,Non,Oui,,
15/01/2020,33,Citroen,Jumper,2017,50700,SC,Manuelle,Diesel,131,14850,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1908567270.htm,Oui,Oui,Oui,,
16/01/2020,59,Peugeot,Boxer,2012,66000,SC,Manuelle,Diesel,130,10999,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912144684.htm,Non,Oui,Oui,,
16/01/2020,95,Renault,Master,2012,180000,SC,Manuelle,Diesel,125,14900,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1920615532.htm?ac=206978287,Oui,Oui,Oui,,
16/01/2020,31,Iveco,Daily,2016,101272,SC,Manuelle,Diesel,126,20000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1871807657.htm,Non,Non,Oui,,
16/01/2020,66,Fiat,Ducato,2017,64100,SC,Manuelle,Diesel,130,20388,Benne origine,Oui,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1902219802.htm?ac=206978287,Non,Non,Non,,
16/01/2020,66,Fiat,Ducato,2017,51400,SC,Manuelle,Diesel,130,21108,Benne origine,Oui,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1888164152.htm,Non,Oui,Oui,,
16/01/2020,26,Nissan,Cabstar,2017,91000,SC,Manuelle,Diesel,130,22200,Benne origine,Oui,Non,NA,JPM,12,https://www.leboncoin.fr/utilitaires/1911486273.htm,Non,Oui,Oui,,
16/01/2020,83,Renault,Master,2012,260000,SC,Manuelle,Diesel,150,12500,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911999514.htm,Oui,Oui,Oui,,
16/01/2020,49,Iveco,Daily,2007,247000,SC,Manuelle,Diesel,120,9500,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1918781403.htm?ac=206978287,Non,Non,Oui,,
16/01/2020,31,Iveco,Daily,2008,196000,SC,Manuelle,Diesel,126,7600,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911959853.htm,Non,Non,Oui,,
