Département,Modele,Annee,Km,Puissance,JPM,Garantie (mois),Prix (TTC)
31,6,2020,100,140,1,24,27550
31,4,2017,70000,170,0,0,20000
25,9,2002,79500,130,0,0,6600
91,6,2013,205000,130,0,12,7500
88,5,2015,194000,130,0,0,17988
78,14,2008,120000,130,0,0,10500
27,3,2015,108186,136,0,0,20000
17,3,2012,200924,125,0,0,13300
26,2,2008,178000,83,0,0,10500
11,2,2005,190000,110,0,3,9500
35,2,2013,113640,110,0,0,15000
13,2,2019,39388,140,1,6,27480
49,3,2013,64000,130,0,3,19188
16,6,2016,80000,130,0,0,18400
63,2,2009,75000,150,0,0,17800
6,12,2015,89000,120,0,3,23990
85,2,2017,67500,140,1,0,31080
18,8,2010,172000,130,0,0,9990
64,5,2015,91600,130,1,0,20000
21,2,2008,160400,120,0,0,12000
42,2,2020,12000,180,0,12,33600
68,2,2007,207000,120,0,0,11500
35,3,2014,81349,165,0,0,21588
47,2,2008,220000,150,0,0,12000
74,3,2001,155000,90,0,3,8490
34,3,2016,100000,125,1,12,15000
19,2,2018,52000,140,0,6,28188
12,3,2018,37500,130,0,0,23990
69,5,2017,25000,140,1,0,32280
59,11,2017,42000,150,0,0,17500
17,3,2020,6000,165,0,12,32000
21,2,2003,280000,120,0,0,7200
59,4,2017,57360,170,0,3,24470
33,2,2017,107000,150,0,0,25900
88,11,2012,224000,110,0,0,9900
14,2,2018,51500,140,0,0,29880
84,2,2014,98000,150,0,0,14900
47,2,1999,279000,110,0,0,4190
33,3,2014,198600,125,0,3,13500
77,2,2010,205000,120,0,0,13000
6,2,2018,30000,140,1,0,25900
57,6,2020,10,140,1,24,30600
1,3,2015,85000,165,0,0,25188
1,3,2015,131000,165,0,0,20988
1,3,2018,58000,145,0,0,28788
91,3,2011,168789,150,0,3,14400
42,12,2016,65680,122,0,0,17900
42,2,2015,136900,130,0,6,22200
69,2,2012,228960,130,0,0,12000
84,9,2017,9900,130,0,0,21500
16,2,2014,104061,130,1,6,22560
34,3,2015,15000,130,0,12,19500
44,2,2016,75370,130,1,6,26388
42,4,2018,51365,170,0,6,20400
78,3,2021,100,145,0,24,31500
43,12,2012,62000,136,0,0,18000
72,11,2016,119000,130,1,12,15000
77,1,2016,89000,163,0,0,24000
76,2,2018,37000,140,0,6,31188
26,3,2016,48244,135,0,0,28800
69,12,2013,98000,140,0,6,16788
1,5,2017,67200,140,0,12,28680
38,5,2012,158018,115,0,3,13920
44,12,2010,117000,130,0,6,16680
27,4,2016,73785,125,0,6,21600
95,6,2018,26500,130,0,6,22000
41,8,2020,10,130,1,24,31800
25,3,2013,78000,150,0,0,20400
78,3,2003,100000,110,0,0,3800
79,5,2012,153000,130,0,0,13200
26,3,2015,156000,165,0,0,15600
62,2,2017,61479,120,0,0,20350
25,5,2012,240000,160,0,0,18000
69,2,2004,200000,120,0,0,8500
67,12,2010,160000,130,0,0,11000
29,9,2017,32328,130,0,6,20880
83,5,2016,79000,140,1,3,24990
14,2,2010,151209,140,0,3,14400
33,11,2016,39900,130,0,6,27900
63,2,2013,155726,210,0,3,20398
44,14,2012,184000,140,0,0,13290
85,6,2017,55817,130,0,6,23880
77,1,2016,89000,163,0,0,21600
60,3,2012,190000,125,0,0,12900
71,3,2008,69500,100,0,0,11800
14,2,2007,172053,116,0,0,15588
33,9,2011,98179,120,0,3,14880
13,2,2016,60000,150,0,0,21600
91,4,2011,111500,115,1,0,13990
11,11,2008,135000,120,0,0,11500
73,6,2020,27000,140,0,12,20000
88,2,2019,39353,140,0,6,32280
64,2,2018,32000,140,0,0,25000
32,2,2013,159161,126,0,3,19199
30,4,2007,131777,130,0,0,8400
93,2,2006,180000,120,0,0,5990
44,2,2018,45286,140,1,12,29388
78,14,2008,120000,130,0,0,10000
25,5,2012,240000,160,0,0,14000
56,4,2017,64253,130,0,6,21990
43,2,2015,105000,150,0,0,21000
59,6,2017,96400,130,0,3,18900
79,3,2016,100000,130,0,0,21600
33,2,2007,161666,100,0,3,15880
33,2,2007,231257,120,0,3,13880
33,3,2017,47918,130,0,3,21880
85,12,2008,199899,110,0,0,10700
93,14,2011,82000,110,0,0,9700
4,4,2018,27471,170,0,12,26990
95,9,2015,170000,130,0,0,14000
44,14,2012,184000,140,0,0,12990
7,2,2018,42000,140,0,0,27600
56,8,2019,9972,130,0,12,25800
83,3,2011,169000,125,0,0,15000
28,3,2018,10214,130,0,0,26040
88,2,2004,239945,125,0,0,10995
77,6,2017,57587,150,0,0,14990
85,2,2018,47951,140,1,3,31800
85,2,2018,47074,140,1,3,32040
85,2,2014,113400,130,1,3,22788
85,2,2018,35742,140,1,3,32280
85,2,2013,161100,150,1,3,19788
85,2,2016,83000,160,1,3,28680
85,2,2018,40447,140,1,3,31800
85,2,2013,113392,130,0,3,22788
41,5,2014,155800,130,0,3,20160
57,6,2020,500,140,0,24,29988
44,2,2017,62672,140,1,6,28188
56,6,2018,59400,130,1,0,21480
84,4,2018,41465,170,0,0,25490
76,2,2018,39800,140,0,6,29990
69,5,2018,73745,140,0,12,31080
56,4,2018,43300,170,0,0,24708
28,14,2012,156013,136,0,3,15990
56,2,2017,92101,146,0,6,22990
28,3,2015,38985,125,0,3,20990
69,2,2018,53000,140,0,6,29880
94,11,2018,40000,130,0,0,19900
34,2,2016,49174,130,0,0,28900
66,2,2018,46576,136,1,12,27000
33,3,2010,151000,125,0,0,16500
42,2,2019,38777,140,1,0,33480
42,2,2008,280000,116,0,0,7900
38,14,2015,86318,136,0,0,16895
15,14,2014,135000,140,0,0,18420
80,2,2000,167000,110,0,0,9000
28,5,2011,119500,130,0,0,17500
29,11,2018,26430,130,0,6,22900
33,2,2013,107000,130,0,0,18000
38,4,2002,73751,75,0,0,9100
2,3,2016,140008,135,0,3,17900
26,3,2016,120957,130,0,3,17990
44,2,2018,60326,140,1,12,29388
44,2,2018,42964,140,1,12,28788
77,2,2021,204,150,1,24,37080
85,9,2016,27900,130,0,0,22800
91,3,2015,124453,125,0,0,17990
85,2,2012,154600,130,0,6,16680
9,2,2017,98000,140,0,0,13500
9,5,2015,242000,130,0,0,9500
57,2,2018,43939,140,0,6,32280
50,9,2016,11766,130,0,3,21490
62,11,2009,135000,120,0,3,10990
7,2,2019,43000,140,0,0,27600
62,6,2016,120902,130,0,0,16990
48,6,2017,27450,130,0,0,22686
2,2,2009,250450,122,0,0,10000
57,2,2014,108655,130,1,0,18540
26,2,2008,271120,150,0,3,10440
25,9,2010,209000,120,0,0,9900
62,9,2014,40225,110,0,3,19990
83,12,2010,153000,110,0,0,14500
37,12,2009,190100,110,0,0,16776
78,14,2008,120000,130,0,0,9400
59,5,2021,300,163,0,24,44388
59,5,2021,300,143,0,24,41988
34,2,2018,44000,140,1,3,27900
45,3,2006,148000,120,0,0,6000
50,9,2018,50900,130,0,12,22790
50,9,2018,22600,130,0,12,23990
66,4,2013,54697,125,0,3,15990
21,6,2016,74331,130,0,0,19200
1,9,2017,37000,163,0,0,16800
34,9,2018,20000,130,0,0,24000
22,9,2015,45500,110,0,0,18500
6,4,2005,112000,115,0,3,9000
44,2,2011,169737,150,1,3,16788
17,2,2017,70000,140,1,3,29640
26,3,2018,83165,130,0,12,21990
85,12,2008,199850,110,0,0,10000
84,3,2016,67044,125,0,6,10200
27,3,2013,140472,100,0,0,18400
77,12,2005,208000,130,0,0,3690
78,4,2008,207000,115,0,0,7990
10,11,2015,123000,136,0,0,15000
83,2,2011,146500,130,0,0,15500
67,2,2018,45339,136,0,6,31800
38,2,2010,97000,150,0,3,15500
33,4,2012,95000,155,0,0,18200
56,4,2013,140000,155,0,0,14900
2,2,2007,195000,126,0,0,13500
13,2,2013,188000,93,0,0,15500
44,14,2012,180000,140,0,0,13490
86,5,2018,29585,163,1,3,35988
27,2,2007,209150,97,0,0,8500
13,12,2008,210000,130,0,0,5900
66,2,2018,27880,136,1,12,28800
85,2,2016,65500,130,0,0,25440
41,2,2017,70000,150,0,6,28500
51,3,2016,25638,125,0,0,23880
45,3,2010,146767,100,0,0,13990
45,4,2017,57800,130,0,12,23900
28,5,2011,119500,130,0,0,16500
69,2,2006,165000,120,0,6,14400
34,3,2013,65000,125,0,0,16700
75,3,2020,7500,145,0,12,29400
54,3,2007,146800,125,0,0,9500
84,2,2009,141000,150,0,0,12500
60,14,2010,154000,130,0,0,10000
14,4,2018,28621,170,0,12,24990
63,4,2011,103529,115,0,3,13198
33,4,2007,124600,115,0,0,11880
22,3,2015,119758,165,0,3,22788
22,9,2018,39490,130,0,3,21588
22,3,2015,81664,135,0,3,26388
38,14,2013,107000,140,0,0,16800
14,9,2018,17035,130,0,12,22500
35,11,2018,23935,130,0,12,24490
35,11,2018,26783,130,0,12,23990
24,2,2016,64500,130,1,0,27000
14,4,2018,23666,170,0,12,24490
91,3,2015,124000,125,0,0,16900
63,8,2015,53188,150,0,0,17500
63,8,2015,57251,150,0,0,17200
26,3,2018,64152,165,0,0,30000
14,4,2018,18553,170,0,12,24990
17,3,2012,200000,125,0,0,13500
91,2,2012,117000,110,0,0,13500
78,2,2010,280000,130,0,0,8600
14,4,2018,36186,170,0,12,24990
34,2,2006,193000,120,0,3,8490
7,2,2019,7800,140,1,0,30000
18,3,2011,179775,110,0,0,7560
49,3,2014,145000,165,1,6,20388
60,2,2009,143000,85,0,0,13800
69,11,2018,25154,130,0,12,24490
69,11,2018,17950,130,0,12,24990
31,3,2015,47000,110,0,3,18200
85,3,2016,104524,165,0,6,23880
93,2,2002,220000,110,0,0,3200
94,3,2016,44500,125,0,0,33120
33,2,2016,95000,150,0,3,23000
44,2,2018,57004,140,1,12,29388
44,2,2018,62137,140,1,12,28788
85,2,2019,16552,140,1,3,33000
31,2,2017,101000,180,0,0,31200
85,2,2018,45436,140,1,3,31800
62,9,2017,53000,130,0,0,20988
44,14,2012,180000,140,0,0,12990
73,2,2017,52000,150,0,12,26399
41,2,2017,70000,150,0,6,27500
33,3,2010,152200,125,0,0,15000
