Modele,Annee,Km,Puissance réelle (ch),Prix (TTC),Marque Benne
Cabstar,2008,200000,110,12000,NA
Daily,2009,150000,150,12000,NA
Daily,2018,40000,140,30000,JPM
Transit,2010,130000,125,14000,NA
Cabstar,2004,190000,125,5000,NA
Ducato,2021,0,160,30000,NA
Sprinter,2007,140000,130,15000,NA
Master,2016,100000,130,24000,NA
Transit,2007,90000,140,14000,NA
Transit,2011,150000,125,10000,NA
Daily,2007,170000,180,13000,NA
Sprinter,2007,220000,109,10000,Legras
Sprinter,2018,50000,105,30000,NA
Transit,2016,100000,155,16000,NA
Crafter,2012,180000,110,11000,NA
Sprinter,2005,340000,130,7000,NA
Master,2017,40000,135,22000,Gruau
Daily,2007,200000,120,10000,JPM
Cabstar,2007,180000,110,7000,NA
Daily,2016,90000,130,24000,NA
Daily,2011,140000,110,12000,NA
Daily,2012,120000,110,12000,NA
Ducato,2016,90000,150,18000,NA
Daily,2017,80000,146,25000,JPM
Transit,2018,20000,170,27000,NA
Daily,2008,120000,100,12000,NA
Master,2017,100000,145,18000,NA
Cabstar,2005,160000,125,8000,NA
Cabstar,2001,200000,110,7000,NA
Transit,2011,140000,85,11000,NA
Ducato,2016,60000,130,20000,NA
Canter,2006,100000,130,13000,NA
Daily,2003,220000,130,6000,NA
Daily,2006,180000,120,6000,NA
Transit,2017,40000,170,24000,NA
Daily,2013,130000,107,16000,NA
Master,2009,240000,130,9000,NA
Daily,2018,20000,140,31000,NA
Transit,2017,10000,130,20000,NA
Cabstar,2014,80000,140,19000,NA
Daily,2018,60000,136,30000,JPM
Daily,2018,40000,140,30000,JPM
Daily,2018,20000,140,32000,JPM
Ducato,2017,60000,130,22000,NA
Transit,2013,150000,125,15000,Jocquin
Daily,2009,230000,150,14000,NA
Sprinter,2013,80000,190,22000,NA
Cabstar,2007,270000,150,6000,NA
Jumper,2017,50000,130,20000,NA
Crafter,2015,100000,136,24000,NA
Daily,2014,120000,130,15000,NA
Boxer,2016,70000,131,18000,NA
Sprinter,2004,130000,109,11000,NA
Daily,2004,230000,120,6000,NA
Daily,2012,110000,106,13000,NA
Daily,2018,30000,140,29000,JPM
Daily,2001,180000,90,5000,NA
Master,2012,120000,125,17000,NA
Cabstar,2012,130000,110,14000,NA
Daily,2007,160000,120,12000,NA
Sprinter,2013,100000,163,22000,NA
Jumper,2017,40000,130,17000,NA
Boxer,2018,20000,130,23000,Gruau
Daily,2002,220000,110,6000,NA
Daily,2010,180000,130,17000,NA
Daily,2007,190000,100,13000,NA
Master,2013,150000,101,17000,NA
Master,2004,270000,120,5000,NA
Daily,2017,60000,150,32000,NA
Master,2017,80000,145,26000,NA
Jumper,2013,110000,131,15000,NA
Boxer,2017,20000,131,22000,NA
Daily,2018,30000,140,30000,NA
Boxer,2016,50000,130,19000,NA
Daily,2015,70000,150,28000,NA
Daily,2016,100000,130,17000,NA
Master,2016,40000,125,24000,NA
Daily,2005,190000,120,7000,NA
Daily,2006,250000,116,7000,NA
Transit,2008,130000,115,10000,NA
Daily,2012,160000,130,17000,NA
Daily,2017,40000,150,28000,JPM
Daily,2007,210000,116,15000,NA
Daily,2015,80000,130,25000,Cabreta
Daily,2016,60000,126,27000,JPM
Daily,2012,290000,170,8000,NA
Sprinter,2006,210000,109,11000,NA
Cabstar,2008,190000,130,6000,NA
Daily,2006,170000,120,18000,NA
Sprinter,2014,100000,130,25000,NA
Transit,2006,50000,130,9000,NA
Sprinter,2016,80000,130,29000,Cabreta
Transit,2009,140000,100,7000,NA
Daily,2019,10000,180,42000,NA
Canter,2018,50000,130,12000,NA
Sprinter,2020,0,140,38000,NA
Master,2020,0,145,35000,JPM
Jumper,2018,40000,96,19000,NA
Transit,2018,20000,125,31000,NA
Daily,2002,140000,110,9000,NA
Daily,2004,300000,120,6000,NA
Ducato,2017,50000,130,20000,JPM
Sprinter,2019,20000,140,39000,NA
Master,2015,60000,135,19000,NA
Jumper,2006,190000,120,9000,NA
Boxer,2010,250000,120,8000,NA
Ducato,2017,40000,130,23000,JPM
Master,2015,130000,165,22000,NA
Daily,2016,70000,130,26000,JPM
Ducato,2021,0,140,29000,NA
Daily,2015,90000,106,20000,NA
Daily,2014,170000,146,14000,NA
Transit,2013,160000,125,8000,NA
Daily,2016,50000,107,33000,NA
Jumper,2012,120000,130,14000,NA
Daily,2016,90000,126,26000,JPM
Transit,2008,210000,130,7000,NA
Sprinter,2018,70000,140,25000,NA
Daily,2018,60000,140,32000,JPM
Daily,2010,80000,130,17000,NA
Daily,2016,50000,107,30000,NA
Daily,2013,140000,106,16000,NA
Sprinter,1999,270000,113,8000,NA
Daily,2014,90000,130,23000,NA
Master,2016,130000,165,16000,NA
Daily,2010,280000,130,9000,NA
Master,2015,80000,125,17000,NA
Boxer,2016,70000,131,15000,NA
Daily,2009,130000,150,14000,NA
Transit,2017,70000,170,21000,NA
Ducato,2017,40000,130,21000,NA
Daily,2016,90000,130,23000,NA
Cabstar,2007,200000,110,11000,NA
Master,2004,270000,120,4000,NA
Sprinter,2006,210000,109,11000,NA
Transit,2016,100000,155,16000,NA
Daily,2006,180000,120,6000,NA
Daily,2011,180000,210,17000,JPM
Cabstar,2008,200000,110,11000,NA
Maxity,2012,180000,140,13000,NA
Ducato,2018,40000,130,20000,JPM
Daily,2020,0,160,42000,JPM
Daily,2020,0,160,42000,JPM
Sprinter,2015,90000,130,22000,NA
Master,2020,0,165,39000,NA
Daily,2012,170000,150,15000,NA
Canter,2008,60000,125,17000,NA
Daily,2010,250000,146,9000,NA
Boxer,2005,110000,130,16000,NA
Daily,2016,170000,130,20000,NA
Daily,2018,40000,140,28000,JPM
Ducato,2017,30000,130,24000,NA
Daily,2013,210000,150,15000,NA
Sprinter,2008,220000,150,12000,NA
Daily,2017,50000,150,29000,NA
Daily,2017,80000,150,26000,Calvet
Daily,2008,230000,120,12000,NA
Cabstar,2013,130000,122,15000,NA
Ducato,2020,0,140,28000,JPM
Transit,2017,70000,170,20000,NA
Jumper,2002,80000,130,7000,NA
Ducato,2013,210000,130,8000,NA
Sprinter,2015,190000,130,18000,NA
Maxity,2008,120000,130,11000,NA
Master,2015,110000,136,20000,NA
Master,2012,200000,125,13000,NA
Daily,2008,180000,83,11000,NA
Daily,2005,190000,110,10000,NA
Daily,2013,110000,110,15000,NA
Daily,2019,40000,140,27000,JPM
Master,2013,60000,130,19000,NA
Ducato,2016,80000,130,18000,NA
Daily,2009,80000,150,18000,NA
Cabstar,2015,90000,120,24000,NA
Daily,2017,70000,140,31000,JPM
